-abine	"arabinofuranosyl derivatives; nucleosides antiviral or antineoplastic agents, cytarabine or azacitidine derivatives"
-ac	"anti-inflammatory agents, ibufenac derivatives"
-acetam	"amide type nootrope agents, piracetam derivatives"
-actide	synthetic polypeptide with a corticotropin-like action
-adol	analgesics
-adol-	analgesics
-adom	"analgesics, tifluadom derivatives"
-afenone	"antiarrhythmics, propafenone derivatives"
-afil	inhibitors of phosphodiesterase PDE5 with vasodilator action
-aj-	"antiarrhythmics, ajmaline derivatives"
-al	aldehydes
-aldrate	"antacids, aluminium salts"
-alol	aromatic ring related to -olols
-alox	"antacids, aluminium derivatives"
-amivir	neuraminidase inhibitors
-ampanel	antagonists of the ionotropic non-NMDA (N-methyl-d-aspartate) glutamate receptors (Namely the AMPA (amino-hydroxymethylisoxazole-propionic acid) and/or KA (kainite antagonist) receptors)
andr	"steroids, androgens"
-anib	angiogenesis inhibitors
-anide	-
-anserin	serotonin receptor antagonists (mostly 5-HT2)
-antel	anthelminthics (undefined group)
-antrone	antineoplastics; anthraquinone derivatives
-apine	tricyclic compounds
-apt-	"aptamers, classical and mirror ones"
-abine	arabinofuranosyl derivatives
-arabine	arabinofuranosyl derivatives
-arit	"antiarthritic substances, acting like clobuzarit and lobenzarit, (mechanism different from antiinflammatory type substances, e.g. -fenamates or -profens)"
-arol	"anticoagulants, dicoumarol derivatives"
-arone	-
-arotene	arotinoid derivatives
arte-	"antimalarial agents, artemisinin related compounds"
-ase	enzymes
-ast	"anti-allergic or anti-inflammatory, not acting as anti-histaminics"
-astine	antihistaminics
-asvir	"antivirals, hepatitis C Virus (HCV) NS5A inhibitors"
-azam	diazepam derivatives
-azenil	benzodiazepine receptor antagonists/agonists (benzodiazepine derivatives)
-azepam	diazepam derivatives
-azepide	"cholecystokinin receptor antagonists, benzodiazepine derivatives"
-azocine	"narcotic antagonists/agonists related to 6,7-benzomorphan"
-azolam	diazepam derivatives
-azoline	"antihistaminics or local vasoconstrictors, antazoline derivatives"
-azone	"anti-inflammatory analgesics, phenylbutazone derivatives"
-azosin	"antihypertensive substances, prazosin derivatives"
-bacept	B-cell activating factor receptors
-bactam	beta-lactamase inhibitors
-bamate	"tranquillizers, propanediol and pentanediol derivatives"
barb	"hypnotics, barbituric acid derivatives"
-begron	beta3-adrenoreceptor agonists
-benakin	interleukin-1 analogues and derivatives
-bendan	"cardiac stimulants, pimobendan derivatives"
-bendazole	"anthelminthics, tiabendazole derivatives"
-bercept	target: VEGF receptors
-bermin	vascular endothelial growth factors
-bersat	"anticonvulsants, benzoylamino-benzpyran derivatives"
-betasol	prednisone and prednisolone derivatives
bol	anabolic steroids
-bradine	bradycardic agents
-brate	clofibrate derivatives 
-brutinib	agammaglobulinaemia tyrosine kinase (Bruton tyrosine kinase) inhibitors
-bufen	"non-steroidal anti-inflammatory agents, arylbutanoic acid derivatives"
-bulin	"antineoplastics; mitotic inhibitor, tubulin binder"
-butazone	"anti-inflammatory analgesics, phenylbutazone derivatives"
-buvir	RNA polymerase (NS5B) inhibitors
-buzone	"anti-inflammatory analgesics, phenylbutazone derivatives"
-caine	local anaesthetics
-cain-	"class I antiarrhythmics, procainamide and lidocaine derivatives"
calci	vitamin D analogues/derivatives
-capone	catechol-O-methyltransferase (COMT) inhibitors
carbef	"antibiotics, carbacephem derivatives"
-carnil	benzodiazepine receptor antagonists/agonists (carboline derivatives)
-castat	dopamine-hydroxylase inhibitors
-catib	cathepsin inhibitors 
-cavir	carbocyclic nucleosides
cef-	"antibiotics, cefalosporanic acid derivatives"
-cel	substances for cell therapies
cell-	cellulose derivatives
cel-	cellulose derivatives
cell-ate	cellulose ester derivatives for substances containing acidic residues
-cellose	cellulose ether derivatives
-cept	"receptor molecules or membrane ligands, native, modified or synthetic"
-cetrapib	cholesteryl ester transfer protein (CETP) inhibitors
-cic	hepatoprotective substances with a carboxylic acid group
-ciclovir	"antivirals, bicyclic heterocycles compounds"
-cidin	naturally occurring antibiotics (undefined group)
-ciguat	guanylate cyclase activators and stimulators
-cillide	"antibiotics, 6-aminopenicillanic acid derivatives"
-cillin	"antibiotics, 6-aminopenicillanic acid derivatives"
-cillinam	"antibiotics, 6-aminopenicillanic acid derivatives"
-cilpine	tricyclic compounds
-cisteine	"mucolytics, other than bromhexine derivatives"
-citabine	"nucleosides antiviral or antineoplastic agents, cytarabine or azacitidine derivatives"
-citinib	Janus kinase inhibitors
-clidine	muscarinic receptor agonists/antagonists
-clidinium	muscarinic receptor agonists/antagonists
-clone	hypnotic tranquillizers
-cocept	complement receptors
-cog	blood coagulation factors
-cogin	blood coagulation cascade inhibitors
-conazole	"systemic antifungal agents, miconazole derivatives"
cort	"corticosteroids, except prednisolone derivatives"
-coxib	selective cyclo-oxygenase inhibitors
-crinat	"diuretics, etacrynic acid derivatives"
-crine	acridine derivatives
-cromil	"antiallergics, cromoglicic acid derivatives"
-curium	curare-like substances
-cycline	"antibiotics, protein-synthesis inhibitors, tetracycline derivatives"
-dan	"cardiac stimulants, pimobendan derivatives"
-dapsone	"antimycobacterials, diaminodiphenylsulfone derivatives"
-decakin	interleukin-10 analogues and derivatives
-degib	SMO receptor antagonists
-denoson	adenosine A receptor agonists
-dermin	epidermal growth factors
-dil	vasodilators
-dilol	vasodilators
-dipine	"calcium channel blockers, nifedipine derivatives"
-dismase	"enzymes with superoxide dismutase activity, see -ase"
-distim	combination of two different types of colony stimulating factors
-dodekin	interleukin-12 analogues and derivatives
-domide	"antineoplastics, thalidomide derivatives"
-dopa	"dopamine receptor agonists, dopamine derivatives, used as antiparkinsonism/prolactin inhibitors"
-dotin	synthetic derivatives of dolastatin series
-dox	"antibacterials, quinazoline dioxide derivatives"
-dralazine	"antihypertensives, hydrazinephthalazine derivatives"
-drine	sympathomimetics
-dronic acid	"calcium metabolism regulator, pharmaceutical aid"
-dustat	hypoxia inducible factor (HIF) prolyl hydroxylase inhibitors
-dutant	neurokinin NK2 receptor antagonist
-dyl	vasodilators
-ectin	"antiparasitics, ivermectin derivatives"
-elestat	elastase inhibitors
-elvekin	interleukin-11 analogues and derivatives
